"","관리기관명","소재지도로명주소","설치목적구분","카메라대수","우편번호","행정동명"
"418","관악구청","남현7길","다목적",1,"08807","남현동"
"419","관악구청","남현7길","다목적",1,"08807","남현동"
"420","관악구청","남현길","다목적",4,"08806","남현동"
"421","관악구청","남현3길","다목적",1,"08806","남현동"
"422","관악구청","대학21길","다목적",1,"08818","대학동"
"423","관악구청","신림로11길","다목적",1,"08817","대학동"
"424","관악구청","신림로11길","다목적",4,"08817","대학동"
"425","관악구청","대학14길","다목적",1,"08820","대학동"
"426","관악구청","대학길","다목적",2,"08818","대학동"
"427","관악구청","난곡로235","다목적",1,NA,NA
"428","관악구청","난곡로235","다목적",1,NA,NA
"429","관악구청","당곡2길","다목적",6,"08711","보라매동"
"430","관악구청","봉천로243","다목적",1,NA,NA
"431","관악구청","봉천로21길","다목적",1,"08719","보라매동"
"432","관악구청","봉천로21길","다목적",1,"08719","보라매동"
"433","관악구청","봉천로23길","다목적",1,"08718","보라매동"
"434","관악구청","양지길","다목적",5,"08846","삼성동"
"435","관악구청","양지길","다목적",3,"08846","삼성동"
"436","관악구청","약수암1길","다목적",4,"08823","삼성동"
"437","관악구청","신림로29길","다목적",1,"08845","서림동"
"438","관악구청","복은2길","다목적",5,"08837","서림동"
"439","관악구청","서림3길","다목적",1,"08840","서림동"
"440","관악구청","복은8길","다목적",4,"08834","서림동"
"441","관악구청","서림7길","다목적",1,"08840","서림동"
"442","관악구청","쑥고개로2가길","다목적",1,"08829","서림동"
"443","관악구청","서원3길","다목적",5,"08844","서원동"
"444","관악구청","남부순환로200다길","다목적",5,"08780","서원동"
"445","관악구청","남부순환로190길","다목적",3,"08779","서원동"
"446","관악구청","남부순환로190가길","다목적",4,"08779","서원동"
"447","관악구청","신림로44나길","다목적",1,"08783","서원동"
"448","관악구청","신림로44가길","다목적",1,"08783","서원동"
"449","관악구청","신림로294","다목적",1,NA,NA
"450","관악구청","남부순환로184길","다목적",4,"08777","서원동"
"451","관악구청","남부순환로180길","다목적",1,"08777","서원동"
"452","관악구청","은천로21길","다목적",4,"08729","성현동"
"453","관악구청","구암5가길","다목적",3,"08724","성현동"
"454","관악구청","신림로71길","다목적",1,"08707","신림동"
"455","관악구청","남부순환로1623","다목적",1,NA,NA
"456","관악구청","신림동","다목적",5,NA,"신림동"
"457","관악구청","신사로26길","다목적",1,"08703","신사동"
"458","관악구청","조원로171","다목적",5,NA,NA
